2026-03-31 06:23:28 | INFO | __main__ | ================================================================================
2026-03-31 06:23:28 | INFO | __main__ | Starting DeBERTa training with config /home/vicyesmo@upvnet.upv.es/human-value-detection-context-rag/configs/deberta-v3-large_doc_rag.yaml
2026-03-31 06:23:28 | INFO | __main__ | Run: model=deberta variant=microsoft/deberta-v3-large context=doc rag=True seed=42 eval=True dry_run=False
2026-03-31 06:23:28 | INFO | value_context_rag.models.training | Loading dataset splits
2026-03-31 06:23:28 | INFO | value_context_rag.data.dataset | Loading split training
2026-03-31 06:23:29 | INFO | value_context_rag.data.dataset | Loading split validation
2026-03-31 06:23:35 | INFO | value_context_rag.data.dataset | Loading label names from raw data
2026-03-31 06:23:35 | INFO | value_context_rag.models.deberta | Loading DeBERTa model microsoft/deberta-v3-large
2026-03-31 06:23:37 | INFO | value_context_rag.models.training | Enabled gradient checkpointing
2026-03-31 06:23:37 | INFO | value_context_rag.models.training | Forced model parameters to fp32
2026-03-31 06:23:37 | INFO | value_context_rag.models.training | Context budgets: max_length=1024 doc_budget=824 kb_budget=200
2026-03-31 06:23:37 | INFO | value_context_rag.models.training | Building training contexts (doc)
2026-03-31 06:29:27 | INFO | value_context_rag.models.training | Building validation contexts (doc)
2026-03-31 06:31:28 | INFO | value_context_rag.models.training | AdamW settings: lr=5e-06 wd=0.1 foreach=False fused=False
2026-03-31 06:31:28 | INFO | value_context_rag.models.training | Training config: batch=16 lr=5e-06 wd=0.1 max_len=1024 accum=2 save_ckpt=True
2026-03-31 06:31:28 | INFO | value_context_rag.models.training | Starting epoch 1/20
2026-03-31 08:04:41 | INFO | value_context_rag.models.training | Epoch 1/20 - train loss 0.0722
2026-03-31 08:04:41 | INFO | value_context_rag.models.training | Evaluating on validation split
2026-03-31 08:12:19 | INFO | value_context_rag.models.training | Validation metrics - macro_f1=0.0000 micro_f1=0.0000
2026-03-31 08:12:27 | INFO | value_context_rag.models.training | Saved best checkpoint to results/checkpoints/deberta_doc_rag_seed42_deberta-v3-large_best.pt
2026-03-31 08:12:36 | INFO | value_context_rag.models.training | Saved HF bundle to results/hf_models/deberta_doc_rag_seed42_deberta-v3-large_best
2026-03-31 08:12:57 | INFO | value_context_rag.models.training | Saved last checkpoint to results/checkpoints/deberta_doc_rag_seed42_deberta-v3-large_best_last.pt
2026-03-31 08:12:57 | INFO | value_context_rag.models.training | Starting epoch 2/20
