weight_decay,batch_size,max_length,learning_rate,best_macro_f1,collapsed
0.01,8.0,1024.0,1e-05,0.0,False
0.01,16.0,1024.0,1e-05,0.21825480133396336,False
0.1,8.0,1024.0,1e-05,0.0,False
0.1,16.0,1024.0,1e-05,0.0,False
0.15,8.0,1024.0,1e-05,0.0,False
0.15,16.0,1024.0,1e-05,0.22169622205669826,False
0.01,8.0,1024.0,2e-05,0.0,False
0.01,16.0,1024.0,2e-05,0.0,False
0.1,8.0,1024.0,2e-05,0.0,False
0.1,16.0,1024.0,2e-05,0.0,False
0.15,8.0,1024.0,2e-05,0.0,False
0.15,16.0,1024.0,2e-05,0.0,False
0.01,8.0,1024.0,3e-05,0.0,False
0.01,16.0,1024.0,3e-05,0.0,False
0.1,8.0,1024.0,3e-05,0.0,False
0.1,16.0,1024.0,3e-05,0.0,False
0.15,8.0,1024.0,3e-05,0.0,False
0.15,16.0,1024.0,3e-05,0.0,False
