2026-03-12 20:38:44 | INFO | value_context_rag.utils.config | Loading config from configs/deberta_doc.yaml
2026-03-12 20:38:44 | INFO | value_context_rag.utils.seed | Setting random seeds
2026-03-12 20:38:44 | INFO | __main__ | ================================================================================
2026-03-12 20:38:44 | INFO | __main__ | Starting DeBERTa training with config configs/deberta_doc.yaml
2026-03-12 20:38:44 | INFO | __main__ | Run: model=deberta context=doc rag=False seed=1701 eval=True dry_run=False
2026-03-12 20:38:44 | INFO | value_context_rag.utils.seed | Setting random seeds
2026-03-12 20:38:44 | INFO | value_context_rag.models.training | Loading dataset splits
2026-03-12 20:38:44 | INFO | value_context_rag.data.dataset | Loading split training
2026-03-12 20:38:44 | INFO | value_context_rag.data.dataset | Loading split validation
2026-03-12 20:38:44 | INFO | value_context_rag.data.dataset | Loading label names from raw data
2026-03-12 20:38:45 | INFO | value_context_rag.models.deberta | Loading DeBERTa model microsoft/deberta-v3-base
