model_family,model_variant,context,split,rag_mode,use_rag,n,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
gemma,google/gemma-3-12b-it,doc,test,early,True,1,0.20231581830313808,0.0,0.22285911602209946,0.0
gemma,google/gemma-3-12b-it,doc,test,none,False,1,0.18120198560905137,0.0,0.20054880896777205,0.0
gemma,google/gemma-3-12b-it,sentence,test,early,True,1,0.21936551619894362,0.0,0.2466613150405021,0.0
gemma,google/gemma-3-12b-it,sentence,test,none,False,1,0.19834936957188515,0.0,0.22364448738075113,0.0
gemma,google/gemma-3-12b-it,window,test,early,True,1,0.21744802906122102,0.0,0.23316200520659502,0.0
gemma,google/gemma-3-12b-it,window,test,none,False,1,0.19394416140725831,0.0,0.20880524567827644,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,early,True,1,0.21968594972739375,0.0,0.23388982543912124,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,none,False,1,0.20177872473278002,0.0,0.2109993068667989,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,early,True,1,0.2363110158536632,0.0,0.2560240002553218,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,none,False,1,0.2083254500690126,0.0,0.22498597800375547,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,early,True,1,0.24070176201699722,0.0,0.2580877498349439,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,none,False,1,0.21588484207487516,0.0,0.23205236486486486,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,early,True,1,0.19360557340310458,0.0,0.20910431432240878,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,none,False,1,0.17070734844793636,0.0,0.17503876258616502,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,early,True,1,0.24109104611377702,0.0,0.26417855836077575,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,none,False,1,0.21508935641378887,0.0,0.23234987088621506,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,early,True,1,0.2180118040928652,0.0,0.2330946913413481,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,none,False,1,0.19322909318075818,0.0,0.19880576044959605,0.0
