model_family,model_variant,value,delta_type,contrast,delta_f1
deberta,microsoft/deberta-v3-base,Achievement,context_gain_no_rag,window_none - sentence_none,0.039138679797840636
deberta,microsoft/deberta-v3-base,Achievement,context_gain_no_rag,doc_none - sentence_none,0.04176405053340637
deberta,microsoft/deberta-v3-base,Achievement,context_gain_rag,window_early - sentence_early,0.04380792526473998
deberta,microsoft/deberta-v3-base,Achievement,context_gain_rag,doc_early - sentence_early,0.06159899488120141
deberta,microsoft/deberta-v3-base,Achievement,rag_gain,sentence_early - sentence_none,0.01810147334870338
deberta,microsoft/deberta-v3-base,Achievement,rag_gain,window_early - window_none,0.02277071881560272
deberta,microsoft/deberta-v3-base,Achievement,rag_gain,doc_early - doc_none,0.037936417696498415
deberta,microsoft/deberta-v3-base,Achievement,architecture_gain,doc_late - doc_early,-0.02213381622418814
deberta,microsoft/deberta-v3-base,Achievement,architecture_gain,doc_cross_attention - doc_early,-0.003202204884497961
deberta,microsoft/deberta-v3-base,Benevolence: caring,context_gain_no_rag,window_none - sentence_none,0.050570903098870024
deberta,microsoft/deberta-v3-base,Benevolence: caring,context_gain_no_rag,doc_none - sentence_none,0.0456952355799044
deberta,microsoft/deberta-v3-base,Benevolence: caring,context_gain_rag,window_early - sentence_early,0.04407538609985906
deberta,microsoft/deberta-v3-base,Benevolence: caring,context_gain_rag,doc_early - sentence_early,0.06697440136955118
deberta,microsoft/deberta-v3-base,Benevolence: caring,rag_gain,sentence_early - sentence_none,0.04262915807118964
deberta,microsoft/deberta-v3-base,Benevolence: caring,rag_gain,window_early - window_none,0.036133641072178674
deberta,microsoft/deberta-v3-base,Benevolence: caring,rag_gain,doc_early - doc_none,0.06390832386083642
deberta,microsoft/deberta-v3-base,Benevolence: caring,architecture_gain,doc_late - doc_early,-0.045009180259055453
deberta,microsoft/deberta-v3-base,Benevolence: caring,architecture_gain,doc_cross_attention - doc_early,-0.05179056037927174
deberta,microsoft/deberta-v3-base,Benevolence: dependability,context_gain_no_rag,window_none - sentence_none,0.07494936210991729
deberta,microsoft/deberta-v3-base,Benevolence: dependability,context_gain_no_rag,doc_none - sentence_none,0.07973064797947052
deberta,microsoft/deberta-v3-base,Benevolence: dependability,context_gain_rag,window_early - sentence_early,0.017927427572573762
deberta,microsoft/deberta-v3-base,Benevolence: dependability,context_gain_rag,doc_early - sentence_early,0.038055332819997456
deberta,microsoft/deberta-v3-base,Benevolence: dependability,rag_gain,sentence_early - sentence_none,0.063349443499048
deberta,microsoft/deberta-v3-base,Benevolence: dependability,rag_gain,window_early - window_none,0.0063275089617044755
deberta,microsoft/deberta-v3-base,Benevolence: dependability,rag_gain,doc_early - doc_none,0.02167412833957494
deberta,microsoft/deberta-v3-base,Benevolence: dependability,architecture_gain,doc_late - doc_early,-0.0285012048196287
deberta,microsoft/deberta-v3-base,Benevolence: dependability,architecture_gain,doc_cross_attention - doc_early,-0.03709751734513092
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,context_gain_no_rag,window_none - sentence_none,0.04841082270533718
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,context_gain_no_rag,doc_none - sentence_none,0.04264721099344521
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,context_gain_rag,window_early - sentence_early,0.010768025662918665
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,context_gain_rag,doc_early - sentence_early,0.04500608259140916
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,rag_gain,sentence_early - sentence_none,0.035172028981536464
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,rag_gain,window_early - window_none,-0.0024707680608820476
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,rag_gain,doc_early - doc_none,0.03753090057950041
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,architecture_gain,doc_late - doc_early,-0.020626968368716664
deberta,microsoft/deberta-v3-base,Conformity: interpersonal,architecture_gain,doc_cross_attention - doc_early,-0.01712554206849068
deberta,microsoft/deberta-v3-base,Conformity: rules,context_gain_no_rag,window_none - sentence_none,0.02634473632823192
deberta,microsoft/deberta-v3-base,Conformity: rules,context_gain_no_rag,doc_none - sentence_none,0.03273093983162273
deberta,microsoft/deberta-v3-base,Conformity: rules,context_gain_rag,window_early - sentence_early,0.020811532985792136
deberta,microsoft/deberta-v3-base,Conformity: rules,context_gain_rag,doc_early - sentence_early,0.018187235251314104
deberta,microsoft/deberta-v3-base,Conformity: rules,rag_gain,sentence_early - sentence_none,0.0196624615112575
deberta,microsoft/deberta-v3-base,Conformity: rules,rag_gain,window_early - window_none,0.014129258168817715
deberta,microsoft/deberta-v3-base,Conformity: rules,rag_gain,doc_early - doc_none,0.005118756930948876
deberta,microsoft/deberta-v3-base,Conformity: rules,architecture_gain,doc_late - doc_early,-0.01261942084804668
deberta,microsoft/deberta-v3-base,Conformity: rules,architecture_gain,doc_cross_attention - doc_early,0.006946157546998011
