model_family,model_variant,context,split,rag_mode,use_rag,n,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
deberta,microsoft/deberta-v3-base,doc,test,cross_attention,True,3,0.30116433809637705,0.006642494363745608,0.3684171266443072,0.012945306759511914
deberta,microsoft/deberta-v3-base,doc,test,early,True,3,0.3142978972773023,0.007635345184521952,0.3685383103646722,0.010373442610792339
deberta,microsoft/deberta-v3-base,doc,test,late,True,3,0.2938363965392581,0.011454502322475952,0.349844373528452,0.00800865812380004
deberta,microsoft/deberta-v3-base,doc,test,none,False,3,0.28459892200219955,0.013234145938733035,0.34580465229567653,0.012120070981466688
deberta,microsoft/deberta-v3-base,sentence,test,early,True,3,0.27274640232145847,0.0033145845825155464,0.338422309722151,0.007047345986322162
deberta,microsoft/deberta-v3-base,sentence,test,none,False,3,0.23701167095685186,0.038436107149019516,0.3090285192143537,0.014234305971771557
deberta,microsoft/deberta-v3-base,window,test,early,True,3,0.30102107176115034,0.0052626894639209425,0.3635296381125452,0.001321105016934762
deberta,microsoft/deberta-v3-base,window,test,none,False,3,0.2802295017502953,0.009623380730040765,0.3374055886279519,0.006826493571266965
deberta,microsoft/deberta-v3-large,doc,test,cross_attention,True,3,0.28042779794972866,0.005510948867407898,0.34770788068686204,0.0036511954753751263
deberta,microsoft/deberta-v3-large,doc,test,early,True,3,0.2938653596655993,0.020109253467675302,0.3494478361402491,0.02188926099665551
deberta,microsoft/deberta-v3-large,doc,test,late,True,3,0.2804376053935752,0.004421831231012854,0.3473623741929949,0.0022310884847304953
deberta,microsoft/deberta-v3-large,doc,test,none,False,3,0.2798591707387559,0.002426879310044961,0.3396212786245572,0.0059727213314568935
deberta,microsoft/deberta-v3-large,sentence,test,early,True,3,0.258494296718591,0.005949871193569432,0.33171211303048853,0.004018057633477208
deberta,microsoft/deberta-v3-large,sentence,test,none,False,3,0.2419839435160606,0.004177658605533068,0.3076853931425871,0.008452000738047947
deberta,microsoft/deberta-v3-large,window,test,early,True,3,0.23108985197212026,0.015136242809898743,0.29104263134094993,0.014595764477725176
deberta,microsoft/deberta-v3-large,window,test,none,False,3,0.20729690856980673,0.00434903898670753,0.2717192691664072,0.007316332905070105
gemma,google/gemma-3-12b-it,doc,test,early,True,1,0.20231581830313808,0.0,0.22285911602209946,0.0
gemma,google/gemma-3-12b-it,doc,test,none,False,1,0.18120198560905137,0.0,0.20054880896777205,0.0
gemma,google/gemma-3-12b-it,sentence,test,early,True,1,0.21936551619894362,0.0,0.2466613150405021,0.0
gemma,google/gemma-3-12b-it,sentence,test,none,False,1,0.19834936957188515,0.0,0.22364448738075113,0.0
gemma,google/gemma-3-12b-it,window,test,early,True,1,0.21744802906122102,0.0,0.23316200520659502,0.0
gemma,google/gemma-3-12b-it,window,test,none,False,1,0.19394416140725831,0.0,0.20880524567827644,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,early,True,1,0.21968594972739375,0.0,0.23388982543912124,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,none,False,1,0.20177872473278002,0.0,0.2109993068667989,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,early,True,1,0.2363110158536632,0.0,0.2560240002553218,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,none,False,1,0.2083254500690126,0.0,0.22498597800375547,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,early,True,1,0.24070176201699722,0.0,0.2580877498349439,0.0
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,none,False,1,0.21588484207487516,0.0,0.23205236486486486,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,early,True,1,0.19360557340310458,0.0,0.20910431432240878,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,none,False,1,0.17070734844793636,0.0,0.17503876258616502,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,early,True,1,0.24109104611377702,0.0,0.26417855836077575,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,none,False,1,0.21508935641378887,0.0,0.23234987088621506,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,early,True,1,0.2180118040928652,0.0,0.2330946913413481,0.0
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,none,False,1,0.19322909318075818,0.0,0.19880576044959605,0.0
